"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0396551724137931,0.170689655172414,0.155172413793103,0.1,0.0362068965517241,0.0258620689655172,0.237931034482759,0.151724137931034,0.0568965517241379,0.0258620689655172
"2",0.0576923076923077,0.0961538461538462,0.0641025641025641,0.0769230769230769,0.179487179487179,0.0769230769230769,0.0641025641025641,0.102564102564103,0.185897435897436,0.0961538461538462
"3",0.0572916666666667,0.130208333333333,0.109375,0.0729166666666667,0.0364583333333333,0.0520833333333333,0.104166666666667,0.125,0.046875,0.265625
"4",0.0635593220338983,0.0974576271186441,0.076271186440678,0.0635593220338983,0.076271186440678,0.0593220338983051,0.254237288135593,0.105932203389831,0.0720338983050847,0.13135593220339
"5",0.0973684210526316,0.0526315789473684,0.102631578947368,0.110526315789474,0.173684210526316,0.186842105263158,0.0210526315789474,0.118421052631579,0.0605263157894737,0.0763157894736842
"6",0.153846153846154,0.0384615384615385,0.101648351648352,0.0879120879120879,0.203296703296703,0.0961538461538462,0.0357142857142857,0.159340659340659,0.0686813186813187,0.0549450549450549
"7",0.0491283676703645,0.221870047543582,0.0950871632329636,0.0729001584786054,0.0618066561014263,0.0792393026941363,0.120443740095087,0.120443740095087,0.0871632329635499,0.0919175911251981
"8",0.150326797385621,0.0996732026143791,0.0866013071895425,0.187908496732026,0.0669934640522876,0.0571895424836601,0.0571895424836601,0.0669934640522876,0.117647058823529,0.109477124183007
"9",0.0297029702970297,0.0231023102310231,0.0693069306930693,0.0825082508250825,0.158415841584158,0.0858085808580858,0.0429042904290429,0.35973597359736,0.0792079207920792,0.0693069306930693
"10",0.292626728110599,0.119815668202765,0.0967741935483871,0.0345622119815668,0.154377880184332,0.126728110599078,0.032258064516129,0.0483870967741935,0.0552995391705069,0.0391705069124424
"11",0.223926380368098,0.0797546012269939,0.171779141104294,0.0674846625766871,0.0797546012269939,0.153374233128834,0.0184049079754601,0.0644171779141104,0.107361963190184,0.0337423312883436
"12",0.0416666666666667,0.125,0.100694444444444,0.125,0.128472222222222,0.145833333333333,0.0451388888888889,0.0902777777777778,0.0763888888888889,0.121527777777778
"13",0.0241691842900302,0.0755287009063444,0.0966767371601208,0.187311178247734,0.0785498489425982,0.223564954682779,0.102719033232628,0.0936555891238671,0.081570996978852,0.0362537764350453
"14",0.175,0.0458333333333333,0.0416666666666667,0.075,0.141666666666667,0.2625,0.0833333333333333,0.0666666666666667,0.0791666666666667,0.0291666666666667
"15",0.131944444444444,0.111111111111111,0.118055555555556,0.111111111111111,0.104166666666667,0.131944444444444,0.0416666666666667,0.118055555555556,0.0972222222222222,0.0347222222222222
"16",0.0945674044265594,0.126760563380282,0.138832997987928,0.06841046277666,0.0503018108651912,0.0543259557344064,0.124748490945674,0.114688128772636,0.0885311871227364,0.138832997987928
"17",0.128712871287129,0.0123762376237624,0.0569306930693069,0.141089108910891,0.168316831683168,0.195544554455446,0.0247524752475248,0.126237623762376,0.108910891089109,0.0371287128712871
