"","V1"
"inaugAbrahamLincoln-1.txt",4
"inaugAbrahamLincoln-2.txt",3
"inaugAndrewJackson-1.txt",1
"inaugAndrewJackson-2.txt",1
"inaugBarackObama-1.txt",2
"inaugBarackObama-2.txt",4
"inaugBenjaminHarrison-1.txt",1
"inaugCalvinCoolidge-1.txt",2
"inaugDonaldJTrump-1.txt",4
"inaugDwightDEisenhower-1.txt",2
"inaugDwightDEisenhower-2.txt",2
"inaugFranklinDRoosevelt-1.txt",2
"inaugFranklinDRoosevelt-2.txt",2
"inaugFranklinDRoosevelt-3.txt",2
"inaugFranklinDRoosevelt-4.txt",2
"inaugFranklinPierce-1.txt",1
"inaugGeorgeBush-1.txt",2
"inaugGeorgeWashington-1.txt",3
"inaugGeorgeWashington-2.txt",1
"inaugGeorgeWBush-1.txt",2
"inaugGeorgeWBush-2.txt",2
"inaugGroverCleveland-I-1.txt",1
"inaugGroverCleveland-II-2.txt",1
"inaugHarrySTruman-1.txt",2
"inaugHerbertHoover-1.txt",1
"inaugJamesBuchanan-1.txt",1
"inaugJamesGarfield-1.txt",1
"inaugJamesKPolk-1.txt",1
"inaugJamesMadison-1.txt",3
"inaugJamesMadison-2.txt",3
"inaugJamesMonroe-1.txt",3
"inaugJamesMonroe-2.txt",3
"inaugJimmyCarter-1.txt",2
"inaugJohnAdams-1.txt",1
"inaugJohnFKennedy-1.txt",2
"inaugJohnQuincyAdams-1.txt",1
"inaugLyndonBJohnson-1.txt",2
"inaugMartinvanBuren-1.txt",3
"inaugRichardNixon-1.txt",2
"inaugRichardNixon-2.txt",2
"inaugRonaldReagan-1.txt",4
"inaugRonaldReagan-2.txt",2
"inaugRutherfordBHayes-1.txt",1
"inaugTheodoreRoosevelt-1.txt",2
"inaugThomasJefferson-1.txt",3
"inaugThomasJefferson-2.txt",1
"inaugUlyssesSGrant-1.txt",3
"inaugUlyssesSGrant-2.txt",3
"inaugWarrenGHarding-1.txt",2
"inaugWilliamHenryHarrison-1.txt",1
"inaugWilliamHowardTaft-1.txt",1
"inaugWilliamJClinton-1.txt",2
"inaugWilliamJClinton-2.txt",2
"inaugWilliamMcKinley-1.txt",1
"inaugWilliamMcKinley-2.txt",1
"inaugWoodrowWilson-1.txt",2
"inaugWoodrowWilson-2.txt",2
"inaugZacharyTaylor-1.txt",1
