"","V1","V2","V3","V4"
"1",0.376724137931034,0.071551724137931,0.168103448275862,0.383620689655172
"2",0.176282051282051,0.253205128205128,0.375,0.195512820512821
"3",0.434895833333333,0.1171875,0.2265625,0.221354166666667
"4",0.413135593220339,0.163135593220339,0.201271186440678,0.222457627118644
"5",0.0881578947368421,0.359210526315789,0.256578947368421,0.296052631578947
"6",0.0947802197802198,0.287087912087912,0.223901098901099,0.394230769230769
"7",0.401743264659271,0.145007923930269,0.213153724247227,0.240095087163233
"8",0.216503267973856,0.267156862745098,0.258986928104575,0.257352941176471
"9",0.110561056105611,0.249174917491749,0.186468646864686,0.453795379537954
"10",0.162442396313364,0.473502304147465,0.203917050691244,0.160138248847926
"11",0.0966257668711656,0.443251533742331,0.262269938650307,0.197852760736196
"12",0.244791666666667,0.279513888888889,0.248263888888889,0.227430555555556
"13",0.246223564954683,0.342900302114804,0.185800604229607,0.225075528700906
"14",0.152083333333333,0.502083333333333,0.18125,0.164583333333333
"15",0.190972222222222,0.357638888888889,0.204861111111111,0.246527777777778
"16",0.341046277665996,0.170020120724346,0.22635814889336,0.262575452716298
"17",0.077970297029703,0.434405940594059,0.196782178217822,0.290841584158416
"18",0.280434782608696,0.106521739130435,0.354347826086957,0.258695652173913
"19",0.282894736842105,0.177631578947368,0.269736842105263,0.269736842105263
"20",0.114329268292683,0.342987804878049,0.269817073170732,0.272865853658537
"21",0.114814814814815,0.354320987654321,0.201234567901235,0.32962962962963
"22",0.425,0.148333333333333,0.211666666666667,0.215
"23",0.355737704918033,0.195081967213115,0.175409836065574,0.273770491803279
"24",0.107565011820331,0.459810874704492,0.147754137115839,0.284869976359338
"25",0.33578431372549,0.322712418300654,0.14297385620915,0.198529411764706
"26",0.391260162601626,0.116869918699187,0.291666666666667,0.20020325203252
"27",0.394523326572008,0.155172413793103,0.205882352941176,0.244421906693712
"28",0.505284015852048,0.116908850726552,0.194848084544254,0.182959048877147
"29",0.2875,0.2125,0.3375,0.1625
"30",0.23134328358209,0.151741293532338,0.450248756218905,0.166666666666667
"31",0.355045871559633,0.105504587155963,0.380733944954128,0.158715596330275
"32",0.291952054794521,0.0933219178082192,0.451198630136986,0.163527397260274
"33",0.120503597122302,0.383093525179856,0.217625899280576,0.278776978417266
"34",0.36449864498645,0.17479674796748,0.304878048780488,0.155826558265583
"35",0.122641509433962,0.450943396226415,0.216981132075472,0.209433962264151
"36",0.477011494252874,0.155172413793103,0.231034482758621,0.136781609195402
"37",0.100961538461538,0.440705128205128,0.1875,0.270833333333333
"38",0.293,0.127,0.363,0.217
"39",0.113333333333333,0.46,0.126666666666667,0.3
"40",0.0741176470588235,0.495294117647059,0.191764705882353,0.238823529411765
"41",0.158227848101266,0.315189873417722,0.168354430379747,0.358227848101266
"42",0.111702127659574,0.409574468085106,0.132978723404255,0.345744680851064
"43",0.414251207729469,0.1243961352657,0.288647342995169,0.172705314009662
"44",0.171957671957672,0.330687830687831,0.304232804232804,0.193121693121693
"45",0.247330960854093,0.243772241992883,0.275800711743772,0.233096085409253
"46",0.373475609756098,0.178353658536585,0.275914634146341,0.172256097560976
"47",0.275933609958506,0.155601659751037,0.304979253112033,0.263485477178423
"48",0.244939271255061,0.180161943319838,0.346153846153846,0.228744939271255
"49",0.151422764227642,0.407520325203252,0.208333333333333,0.232723577235772
"50",0.373869801084991,0.0583182640144665,0.34493670886076,0.222875226039783
"51",0.297112462006079,0.151215805471125,0.26063829787234,0.291033434650456
"52",0.0949820788530466,0.399641577060932,0.17741935483871,0.327956989247312
"53",0.0968819599109131,0.39977728285078,0.17260579064588,0.330734966592428
"54",0.340909090909091,0.101097178683386,0.257836990595611,0.300156739811912
"55",0.287012987012987,0.201298701298701,0.235064935064935,0.276623376623377
"56",0.203237410071942,0.33273381294964,0.311151079136691,0.152877697841727
"57",0.222419928825623,0.346975088967972,0.275800711743772,0.154804270462633
"58",0.424757281553398,0.143203883495146,0.245145631067961,0.186893203883495
